Protein	Des
A0A0H2ZEH0	Genome Annotation
A0A0H2ZEZ6	Genome Annotation
A0A0H2ZF94	Genome Annotation
A0A0H2ZFZ7	Genome Annotation
A0A0H2ZGH6	Genome Annotation
A0A0H2ZGM4	Genome Annotation
A0A0H2ZGY3	Genome Annotation
A0A0H2ZHP8	Genome Annotation
A0A0H2ZHV0	Genome Annotation
A0A0H2ZI65	Genome Annotation
A0A0H2ZIH9	Genome Annotation
A0A0H2ZIW7	Genome Annotation
A0A0H2ZK24	Genome Annotation
A0A0H2ZLD8	Genome Annotation
A0A0H2ZLE0	Genome Annotation
A0A0H2ZLH0	Genome Annotation
A0A0H2ZLI5	Genome Annotation
A0A0H2ZLT2	Genome Annotation
A0A0H2ZLY8	Genome Annotation
A0A0H2ZLZ4	Genome Annotation
A0A0H2ZM91	Genome Annotation
A0A0H2ZMK9	Genome Annotation
A0A0H2ZMP5	Genome Annotation
A0A0H2ZMS9	Genome Annotation
A0A0H2ZMV7	Genome Annotation
A0A0H2ZN13	Genome Annotation
A0A0H2ZN54	Genome Annotation
A0A0H2ZN64	Genome Annotation
A0A0H2ZN99	Genome Annotation
A0A0H2ZNG3	Genome Annotation
A0A0H2ZNG8	Genome Annotation
A0A0H2ZNI4	Genome Annotation
A0A0H2ZNM6	Genome Annotation
A0A0H2ZNN6	Genome Annotation
A0A0H2ZNS9	Genome Annotation
A0A0H2ZNX1	Genome Annotation
A0A0H2ZNX3	Genome Annotation
A0A0H2ZP62	Genome Annotation
A0A0H2ZP84	Genome Annotation
A0A0H2ZPA7	Genome Annotation
A0A0H2ZPC6	Genome Annotation
A0A0H2ZPG7	Genome Annotation
A0A0H2ZPI5	Genome Annotation
A0A0H2ZPL5	Genome Annotation
A0A0H2ZPN9	Genome Annotation
A0A0H2ZPQ1	Genome Annotation
A0A0H2ZPS0	Genome Annotation
A0A0H2ZPS7	Genome Annotation
A0A0H2ZPT1	Genome Annotation
A0A0H2ZPT5	Genome Annotation
A0A0H2ZQ65	Genome Annotation
A0A0H2ZQ87	Genome Annotation
A0A0H2ZQE0	Genome Annotation
A0A0H2ZQE4	Genome Annotation
A0A0H2ZQF3	Genome Annotation
A0A0H2ZQI4	Genome Annotation
A0A0H2ZQW0	Genome Annotation
A0A0H2ZR12	Genome Annotation
A0A0H2ZR39	Genome Annotation
A0A0H2ZR50	Genome Annotation
A0A0H2ZR80	Genome Annotation
A0A0H2ZRA8	Genome Annotation
A0A0H2ZRF0	Genome Annotation
A0A0H3BNJ9	Genome Annotation
A0A0H3FL20	Genome Annotation
A0A0H3GE39	Genome Annotation
A0A0H3GGT0	Genome Annotation
A0A0H3GIV1	Genome Annotation
A0A0H3GJV8	Genome Annotation
A0A0H3GSB6	Genome Annotation
A0A0H3JDM8	Genome Annotation
A0A0H3JF05	
A0A0H3K684	Genome Annotation
A0A0H3K6P9	Genome Annotation
A0A0H3K743	Genome Annotation
A0A0H3K7D0	Genome Annotation
A0A0H3K7F4	Genome Annotation
A0A0H3K7L0	Genome Annotation
A0A0H3K8E2	Genome Annotation
A0A0H3K8I6	Genome Annotation
A0A0H3K8Q4	Genome Annotation
A0A0H3K8V5	Genome Annotation
A0A0H3K9E4	Genome Annotation
A0A0H3K9P0	Genome Annotation
A0A0H3K9T2	Genome Annotation
A0A0H3KA72	Genome Annotation
A0A0H3KAP0	Genome Annotation
A0A0H3KBK6	Genome Annotation
A0A0H3KCE0	Genome Annotation
A0A0H3KCP9	Genome Annotation
