Protein	Host.TaxonID..Viral.ClusterID..Interaction.ID
A0A0H2UXU2	623,,26356,,209;;623,,26355,,3311;;623,,24967,,9552;;623,,24966,,8365;;623,,19924,,24129;;623,,17365,,18488;;623,,17313,,18373;;623,,12774,,11334;;623,,9878,,7968;;623,,6254,,4518
A0A0H2UXV0	623,,26356,,209;;623,,26355,,3311;;623,,24967,,9552;;623,,24966,,8365;;623,,19924,,24129;;623,,17365,,18488;;623,,17313,,18373;;623,,12774,,11334;;623,,9878,,7968;;623,,6254,,4518
A0A0H2UXW2	623,,26356,,209;;623,,26355,,3311;;623,,24967,,9552;;623,,24966,,8365;;623,,19924,,24129;;623,,17365,,18488;;623,,17313,,18373;;623,,12774,,11334;;623,,9878,,7968;;623,,6254,,4518
A0A0H2UY03	623,,26356,,209;;623,,26355,,3311;;623,,24967,,9552;;623,,24966,,8365;;623,,19924,,24129;;623,,17365,,18488;;623,,17313,,18373;;623,,12774,,11334;;623,,9878,,7968;;623,,6254,,4518
A0A0H2UY50	623,,26356,,209;;623,,26355,,3311;;623,,24967,,9552;;623,,24966,,8365;;623,,19924,,24129;;623,,17365,,18488;;623,,17313,,18373;;623,,12774,,11334;;623,,9878,,7968;;623,,6254,,4518
A0A0H2UY62	623,,26356,,209;;623,,26355,,3311;;623,,24967,,9552;;623,,24966,,8365;;623,,19924,,24129;;623,,17365,,18488;;623,,17313,,18373;;623,,12774,,11334;;623,,9878,,7968;;623,,6254,,4518
A0A0H2UY65	623,,26356,,209;;623,,26355,,3311;;623,,24967,,9552;;623,,24966,,8365;;623,,19924,,24129;;623,,17365,,18488;;623,,17313,,18373;;623,,12774,,11334;;623,,9878,,7968;;623,,6254,,4518
A0A0H2UY89	623,,26356,,209;;623,,26355,,3311;;623,,24967,,9552;;623,,24966,,8365;;623,,19924,,24129;;623,,17365,,18488;;623,,17313,,18373;;623,,12774,,11334;;623,,9878,,7968;;623,,6254,,4518
A0A0H2UY99	623,,26356,,209;;623,,26355,,3311;;623,,24967,,9552;;623,,24966,,8365;;623,,19924,,24129;;623,,17365,,18488;;623,,17313,,18373;;623,,12774,,11334;;623,,9878,,7968;;623,,6254,,4518
A0A0H2UYA8	623,,26356,,209;;623,,26355,,3311;;623,,24967,,9552;;623,,24966,,8365;;623,,19924,,24129;;623,,17365,,18488;;623,,17313,,18373;;623,,12774,,11334;;623,,9878,,7968;;623,,6254,,4518
A0A0H2UYC2	623,,26356,,209;;623,,26355,,3311;;623,,24967,,9552;;623,,24966,,8365;;623,,19924,,24129;;623,,17365,,18488;;623,,17313,,18373;;623,,12774,,11334;;623,,9878,,7968;;623,,6254,,4518
A0A0H2UYC3	623,,26356,,209;;623,,26355,,3311;;623,,24967,,9552;;623,,24966,,8365;;623,,19924,,24129;;623,,17365,,18488;;623,,17313,,18373;;623,,12774,,11334;;623,,9878,,7968;;623,,6254,,4518
A0A0H2UYD2	623,,26356,,209;;623,,26355,,3311;;623,,24967,,9552;;623,,24966,,8365;;623,,19924,,24129;;623,,17365,,18488;;623,,17313,,18373;;623,,12774,,11334;;623,,9878,,7968;;623,,6254,,4518
A0A0H2UYJ4	623,,26356,,209;;623,,26355,,3311;;623,,24967,,9552;;623,,24966,,8365;;623,,19924,,24129;;623,,17365,,18488;;623,,17313,,18373;;623,,12774,,11334;;623,,9878,,7968;;623,,6254,,4518
A0A0H2UYP6	623,,26356,,209;;623,,26355,,3311;;623,,24967,,9552;;623,,24966,,8365;;623,,19924,,24129;;623,,17365,,18488;;623,,17313,,18373;;623,,12774,,11334;;623,,9878,,7968;;623,,6254,,4518
A0A0H2UYV7	623,,26356,,209;;623,,26355,,3311;;623,,24967,,9552;;623,,24966,,8365;;623,,19924,,24129;;623,,17365,,18488;;623,,17313,,18373;;623,,12774,,11334;;623,,9878,,7968;;623,,6254,,4518
A0A0H2UYY2	623,,26356,,209;;623,,26355,,3311;;623,,24967,,9552;;623,,24966,,8365;;623,,19924,,24129;;623,,17365,,18488;;623,,17313,,18373;;623,,12774,,11334;;623,,9878,,7968;;623,,6254,,4518
A0A0H2UYY3	623,,26356,,209;;623,,26355,,3311;;623,,24967,,9552;;623,,24966,,8365;;623,,19924,,24129;;623,,17365,,18488;;623,,17313,,18373;;623,,12774,,11334;;623,,9878,,7968;;623,,6254,,4518
A0A0H2UYY9	623,,26356,,209;;623,,26355,,3311;;623,,24967,,9552;;623,,24966,,8365;;623,,19924,,24129;;623,,17365,,18488;;623,,17313,,18373;;623,,12774,,11334;;623,,9878,,7968;;623,,6254,,4518
