Protein	Accession	Accession.id
A0A0E0UCT0	map03018;map02010;map00920;map00720;map00910	https://www.genome.jp/dbget-bin/www_bget?pathway:map03018;https://www.genome.jp/dbget-bin/www_bget?pathway:map02010;https://www.genome.jp/dbget-bin/www_bget?pathway:map00920;https://www.genome.jp/dbget-bin/www_bget?pathway:map00720;https://www.genome.jp/dbget-bin/www_bget?pathway:map00910
A0A0E0UCT8	map03018;map02010;map00920;map00720;map00910	https://www.genome.jp/dbget-bin/www_bget?pathway:map03018;https://www.genome.jp/dbget-bin/www_bget?pathway:map02010;https://www.genome.jp/dbget-bin/www_bget?pathway:map00920;https://www.genome.jp/dbget-bin/www_bget?pathway:map00720;https://www.genome.jp/dbget-bin/www_bget?pathway:map00910
A0A0E0UCU7	map03018;map02010;map00920;map00720;map00910	https://www.genome.jp/dbget-bin/www_bget?pathway:map03018;https://www.genome.jp/dbget-bin/www_bget?pathway:map02010;https://www.genome.jp/dbget-bin/www_bget?pathway:map00920;https://www.genome.jp/dbget-bin/www_bget?pathway:map00720;https://www.genome.jp/dbget-bin/www_bget?pathway:map00910
A0A0E0UCU9	map03018;map02010;map00920;map00720;map00910	https://www.genome.jp/dbget-bin/www_bget?pathway:map03018;https://www.genome.jp/dbget-bin/www_bget?pathway:map02010;https://www.genome.jp/dbget-bin/www_bget?pathway:map00920;https://www.genome.jp/dbget-bin/www_bget?pathway:map00720;https://www.genome.jp/dbget-bin/www_bget?pathway:map00910
A0A0E0UCV1	map03018;map02010;map00920;map00720;map00910	https://www.genome.jp/dbget-bin/www_bget?pathway:map03018;https://www.genome.jp/dbget-bin/www_bget?pathway:map02010;https://www.genome.jp/dbget-bin/www_bget?pathway:map00920;https://www.genome.jp/dbget-bin/www_bget?pathway:map00720;https://www.genome.jp/dbget-bin/www_bget?pathway:map00910
A0A0E0UCX8	map03018;map02010;map00920;map00720;map00910	https://www.genome.jp/dbget-bin/www_bget?pathway:map03018;https://www.genome.jp/dbget-bin/www_bget?pathway:map02010;https://www.genome.jp/dbget-bin/www_bget?pathway:map00920;https://www.genome.jp/dbget-bin/www_bget?pathway:map00720;https://www.genome.jp/dbget-bin/www_bget?pathway:map00910
A0A0E0UCY2	map03018;map02010;map00920;map00720;map00910	https://www.genome.jp/dbget-bin/www_bget?pathway:map03018;https://www.genome.jp/dbget-bin/www_bget?pathway:map02010;https://www.genome.jp/dbget-bin/www_bget?pathway:map00920;https://www.genome.jp/dbget-bin/www_bget?pathway:map00720;https://www.genome.jp/dbget-bin/www_bget?pathway:map00910
A0A0E0UD17	map03018;map02010;map00920;map00720;map00910	https://www.genome.jp/dbget-bin/www_bget?pathway:map03018;https://www.genome.jp/dbget-bin/www_bget?pathway:map02010;https://www.genome.jp/dbget-bin/www_bget?pathway:map00920;https://www.genome.jp/dbget-bin/www_bget?pathway:map00720;https://www.genome.jp/dbget-bin/www_bget?pathway:map00910
A0A0E0UD69	map03018;map02010;map00920;map00720;map00910	https://www.genome.jp/dbget-bin/www_bget?pathway:map03018;https://www.genome.jp/dbget-bin/www_bget?pathway:map02010;https://www.genome.jp/dbget-bin/www_bget?pathway:map00920;https://www.genome.jp/dbget-bin/www_bget?pathway:map00720;https://www.genome.jp/dbget-bin/www_bget?pathway:map00910
A0A0E0UD90	map03018;map02010;map00920;map00720;map00910	https://www.genome.jp/dbget-bin/www_bget?pathway:map03018;https://www.genome.jp/dbget-bin/www_bget?pathway:map02010;https://www.genome.jp/dbget-bin/www_bget?pathway:map00920;https://www.genome.jp/dbget-bin/www_bget?pathway:map00720;https://www.genome.jp/dbget-bin/www_bget?pathway:map00910
A0A0E0UD97	map03018;map02010;map00920;map00720;map00910	https://www.genome.jp/dbget-bin/www_bget?pathway:map03018;https://www.genome.jp/dbget-bin/www_bget?pathway:map02010;https://www.genome.jp/dbget-bin/www_bget?pathway:map00920;https://www.genome.jp/dbget-bin/www_bget?pathway:map00720;https://www.genome.jp/dbget-bin/www_bget?pathway:map00910
A0A0E0UDD5	map03018;map02010;map00920;map00720;map00910	https://www.genome.jp/dbget-bin/www_bget?pathway:map03018;https://www.genome.jp/dbget-bin/www_bget?pathway:map02010;https://www.genome.jp/dbget-bin/www_bget?pathway:map00920;https://www.genome.jp/dbget-bin/www_bget?pathway:map00720;https://www.genome.jp/dbget-bin/www_bget?pathway:map00910
A0A0E0UDL4	map03018;map02010;map00920;map00720;map00910	https://www.genome.jp/dbget-bin/www_bget?pathway:map03018;https://www.genome.jp/dbget-bin/www_bget?pathway:map02010;https://www.genome.jp/dbget-bin/www_bget?pathway:map00920;https://www.genome.jp/dbget-bin/www_bget?pathway:map00720;https://www.genome.jp/dbget-bin/www_bget?pathway:map00910
A0A0E0UDW5	map03018;map02010;map00920;map00720;map00910	https://www.genome.jp/dbget-bin/www_bget?pathway:map03018;https://www.genome.jp/dbget-bin/www_bget?pathway:map02010;https://www.genome.jp/dbget-bin/www_bget?pathway:map00920;https://www.genome.jp/dbget-bin/www_bget?pathway:map00720;https://www.genome.jp/dbget-bin/www_bget?pathway:map00910
A0A0E0UEF9	map03018;map02010;map00920;map00720;map00910	https://www.genome.jp/dbget-bin/www_bget?pathway:map03018;https://www.genome.jp/dbget-bin/www_bget?pathway:map02010;https://www.genome.jp/dbget-bin/www_bget?pathway:map00920;https://www.genome.jp/dbget-bin/www_bget?pathway:map00720;https://www.genome.jp/dbget-bin/www_bget?pathway:map00910
A0A0E0UEH3	map03018;map02010;map00920;map00720;map00910	https://www.genome.jp/dbget-bin/www_bget?pathway:map03018;https://www.genome.jp/dbget-bin/www_bget?pathway:map02010;https://www.genome.jp/dbget-bin/www_bget?pathway:map00920;https://www.genome.jp/dbget-bin/www_bget?pathway:map00720;https://www.genome.jp/dbget-bin/www_bget?pathway:map00910
A0A0E0UET8	map03018;map02010;map00920;map00720;map00910	https://www.genome.jp/dbget-bin/www_bget?pathway:map03018;https://www.genome.jp/dbget-bin/www_bget?pathway:map02010;https://www.genome.jp/dbget-bin/www_bget?pathway:map00920;https://www.genome.jp/dbget-bin/www_bget?pathway:map00720;https://www.genome.jp/dbget-bin/www_bget?pathway:map00910
A0A0E0UEW7	map03018;map02010;map00920;map00720;map00910	https://www.genome.jp/dbget-bin/www_bget?pathway:map03018;https://www.genome.jp/dbget-bin/www_bget?pathway:map02010;https://www.genome.jp/dbget-bin/www_bget?pathway:map00920;https://www.genome.jp/dbget-bin/www_bget?pathway:map00720;https://www.genome.jp/dbget-bin/www_bget?pathway:map00910
A0A0E0UEX4	map03018;map02010;map00920;map00720;map00910	https://www.genome.jp/dbget-bin/www_bget?pathway:map03018;https://www.genome.jp/dbget-bin/www_bget?pathway:map02010;https://www.genome.jp/dbget-bin/www_bget?pathway:map00920;https://www.genome.jp/dbget-bin/www_bget?pathway:map00720;https://www.genome.jp/dbget-bin/www_bget?pathway:map00910
A0A0E0UFF6	map03018;map02010;map00920;map00720;map00910	https://www.genome.jp/dbget-bin/www_bget?pathway:map03018;https://www.genome.jp/dbget-bin/www_bget?pathway:map02010;https://www.genome.jp/dbget-bin/www_bget?pathway:map00920;https://www.genome.jp/dbget-bin/www_bget?pathway:map00720;https://www.genome.jp/dbget-bin/www_bget?pathway:map00910
A0A0E0UFH5	map03018;map02010;map00920;map00720;map00910	https://www.genome.jp/dbget-bin/www_bget?pathway:map03018;https://www.genome.jp/dbget-bin/www_bget?pathway:map02010;https://www.genome.jp/dbget-bin/www_bget?pathway:map00920;https://www.genome.jp/dbget-bin/www_bget?pathway:map00720;https://www.genome.jp/dbget-bin/www_bget?pathway:map00910
A0A0E0UFJ1	map03018;map02010;map00920;map00720;map00910	https://www.genome.jp/dbget-bin/www_bget?pathway:map03018;https://www.genome.jp/dbget-bin/www_bget?pathway:map02010;https://www.genome.jp/dbget-bin/www_bget?pathway:map00920;https://www.genome.jp/dbget-bin/www_bget?pathway:map00720;https://www.genome.jp/dbget-bin/www_bget?pathway:map00910
A0A0E0UFL2	map03018;map02010;map00920;map00720;map00910	https://www.genome.jp/dbget-bin/www_bget?pathway:map03018;https://www.genome.jp/dbget-bin/www_bget?pathway:map02010;https://www.genome.jp/dbget-bin/www_bget?pathway:map00920;https://www.genome.jp/dbget-bin/www_bget?pathway:map00720;https://www.genome.jp/dbget-bin/www_bget?pathway:map00910
A0A0E0UG10	map03018;map02010;map00920;map00720;map00910	https://www.genome.jp/dbget-bin/www_bget?pathway:map03018;https://www.genome.jp/dbget-bin/www_bget?pathway:map02010;https://www.genome.jp/dbget-bin/www_bget?pathway:map00920;https://www.genome.jp/dbget-bin/www_bget?pathway:map00720;https://www.genome.jp/dbget-bin/www_bget?pathway:map00910
